```
$ ./bin/bench_kernels
2023-01-04T07:59:56+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.69, 0.60, 0.70
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
RX<float>/AVX2/14                                146764 ns       146745 ns         4646
RX<float>/AVX2/16                                562578 ns       562519 ns         1268
RX<float>/AVX2/18                               3350166 ns      3349861 ns          211
RX<float>/AVX2/20                              14589742 ns     14589776 ns           48
RX<float>/AVX2/22                             108350114 ns    108327944 ns            6
RX<float>/AVX2/24                             512721045 ns    512704002 ns            1
SWAP<float>/AVX2/6                                 4432 ns         4432 ns       157948
SWAP<float>/AVX2/8                                 5489 ns         5489 ns       127808
SWAP<float>/AVX2/10                               10315 ns        10314 ns        72889
SWAP<float>/AVX2/12                               27261 ns        27260 ns        24479
SWAP<float>/AVX2/14                               97288 ns        97274 ns         7516
SWAP<float>/AVX2/16                              363318 ns       363269 ns         1885
SWAP<float>/AVX2/18                             2323664 ns      2323158 ns          298
SWAP<float>/AVX2/20                            10543616 ns     10541586 ns           65
SWAP<float>/AVX2/22                            87599070 ns     87593889 ns            8
SWAP<float>/AVX2/24                           402768852 ns    402691678 ns            2
CZ<float>/AVX2/6                                   4126 ns         4125 ns       167864
CZ<float>/AVX2/8                                   5172 ns         5172 ns       144046
CZ<float>/AVX2/10                                  7417 ns         7416 ns        92848
CZ<float>/AVX2/12                                 18274 ns        18271 ns        39151
CZ<float>/AVX2/14                                 62014 ns        62003 ns        11369
CZ<float>/AVX2/16                                225692 ns       225666 ns         2974
CZ<float>/AVX2/18                               1437099 ns      1436821 ns          489
CZ<float>/AVX2/20                               7730071 ns      7729125 ns           97
CZ<float>/AVX2/22                              65451401 ns     65438476 ns           10
CZ<float>/AVX2/24                             293639494 ns    293598473 ns            2
