```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingXX<float>/AVX2/6                              5436 ns         5435 ns       128085
IsingXX<float>/AVX2/8                              7357 ns         7355 ns        94450
IsingXX<float>/AVX2/10                            15263 ns        15261 ns        47051
IsingXX<float>/AVX2/12                            45060 ns        45054 ns        15057
IsingXX<float>/AVX2/14                           176807 ns       176787 ns         3884
IsingXX<float>/AVX2/16                           695350 ns       695303 ns         1064
IsingXX<float>/AVX2/18                          3601030 ns      3600764 ns          192
IsingXX<float>/AVX2/20                         15411098 ns     15405979 ns           46
IsingXX<float>/AVX2/22                        104819877 ns    104785575 ns            6
IsingXX<float>/AVX2/24                        501138965 ns    501071318 ns            1
PauliZ<float>/AVX2/6                               4977 ns         4976 ns       141621
PauliZ<float>/AVX2/8                               6375 ns         6373 ns       110800
PauliZ<float>/AVX2/10                             11239 ns        11237 ns        62009
PauliZ<float>/AVX2/12                             33144 ns        33138 ns        20834
PauliZ<float>/AVX2/14                            112969 ns       112963 ns         6282
PauliZ<float>/AVX2/16                            434736 ns       434672 ns         1585
PauliZ<float>/AVX2/18                           2740098 ns      2739951 ns          263
PauliZ<float>/AVX2/20                          10474959 ns     10473100 ns           63
PauliZ<float>/AVX2/22                          87621128 ns     87611548 ns            8
PauliZ<float>/AVX2/24                         355061548 ns    355022361 ns            2
IsingYY<float>/AVX2/6                              5881 ns         5879 ns       120249
IsingYY<float>/AVX2/8                              7978 ns         7977 ns        87397
IsingYY<float>/AVX2/10                            15498 ns        15495 ns        42640
IsingYY<float>/AVX2/12                            46363 ns        46358 ns        15056
IsingYY<float>/AVX2/14                           175080 ns       175064 ns         4032
IsingYY<float>/AVX2/16                           664888 ns       664874 ns         1024
IsingYY<float>/AVX2/18                          3664239 ns      3663773 ns          190
IsingYY<float>/AVX2/20                         15210220 ns     15208891 ns           46
IsingYY<float>/AVX2/22                        109612025 ns    109592238 ns            6
IsingYY<float>/AVX2/24                        506757660 ns    506712780 ns            2
S<float>/AVX2/6                                    4803 ns         4803 ns       146019
S<float>/AVX2/8                                    6406 ns         6405 ns       112152
S<float>/AVX2/10                                  11415 ns        11412 ns        60049
S<float>/AVX2/12                                  32497 ns        32495 ns        21476
S<float>/AVX2/14                                 114712 ns       114695 ns         6145
S<float>/AVX2/16                                 445467 ns       445434 ns         1580
S<float>/AVX2/18                                2692273 ns      2691836 ns          275
S<float>/AVX2/20                               11616370 ns     11615382 ns           62
S<float>/AVX2/22                               82264064 ns     82252510 ns            8
S<float>/AVX2/24                              349735403 ns    349607271 ns            2
IsingZZ<float>/AVX2/6                              5927 ns         5926 ns       120955
IsingZZ<float>/AVX2/8                              7725 ns         7724 ns        91073
IsingZZ<float>/AVX2/10                            15243 ns        15243 ns        45177
IsingZZ<float>/AVX2/12                            46650 ns        46636 ns        14030
