```
$ ./bin/bench_kernels 
2023-01-11T22:23:50+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 6.83, 6.42, 6.08
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
CNOT<float>/AVX2/6                                 3390 ns         3390 ns       207231
CNOT<float>/AVX2/8                                 4304 ns         4304 ns       171698
CNOT<float>/AVX2/10                                7630 ns         7630 ns        89386
CNOT<float>/AVX2/12                               19043 ns        19042 ns        32340
CNOT<float>/AVX2/14                               74735 ns        74732 ns         9282
CNOT<float>/AVX2/16                              263648 ns       263635 ns         2638
CNOT<float>/AVX2/18                             2049515 ns      2049339 ns          315
CNOT<float>/AVX2/20                             9439510 ns      9438911 ns           67
CNOT<float>/AVX2/22                            83456235 ns     83456353 ns            8
CNOT<float>/AVX2/24                           355078157 ns    355078674 ns            2
CZ<float>/AVX2/6                                   3654 ns         3654 ns       195544
CZ<float>/AVX2/8                                   4476 ns         4476 ns       156091
CZ<float>/AVX2/10                                  7921 ns         7921 ns        96265
CZ<float>/AVX2/12                                 19227 ns        19227 ns        39116
CZ<float>/AVX2/14                                 66662 ns        66657 ns        10074
CZ<float>/AVX2/16                                259263 ns       259237 ns         2700
CZ<float>/AVX2/18                               1607886 ns      1607682 ns          447
CZ<float>/AVX2/20                               8258837 ns      8257850 ns           95
CZ<float>/AVX2/22                              68443196 ns     68439434 ns           10
CZ<float>/AVX2/24                             277590808 ns    277575776 ns            3
PauliX<float>/AVX2/6                               3363 ns         3363 ns       211086
PauliX<float>/AVX2/8                               4459 ns         4459 ns       162383
PauliX<float>/AVX2/10                              8600 ns         8600 ns        81034
PauliX<float>/AVX2/12                             23829 ns        23828 ns        28355
PauliX<float>/AVX2/14                             91602 ns        91597 ns         7565
PauliX<float>/AVX2/16                            359995 ns       359973 ns         1930
PauliX<float>/AVX2/18                           3146260 ns      3146081 ns          222
PauliX<float>/AVX2/20                          13786997 ns     13783939 ns           51
PauliX<float>/AVX2/22                         102890032 ns    102876250 ns            7
PauliX<float>/AVX2/24                         472884276 ns    472834129 ns            2
PauliY<float>/AVX2/6                               3747 ns         3747 ns       185986
PauliY<float>/AVX2/8                               5223 ns         5223 ns       132115
PauliY<float>/AVX2/10                             11088 ns        11087 ns        59236
PauliY<float>/AVX2/12                             34017 ns        34015 ns        20983
PauliY<float>/AVX2/14                            120304 ns       120301 ns         5767
PauliY<float>/AVX2/16                            477538 ns       477516 ns         1447
PauliY<float>/AVX2/18                           3324371 ns      3324288 ns          211
PauliY<float>/AVX2/20                          14119697 ns     14117732 ns           49
PauliY<float>/AVX2/22                         104702862 ns    104699501 ns            7
PauliY<float>/AVX2/24                         483737977 ns    483713614 ns            2
SWAP<float>/AVX2/6                                 3759 ns         3759 ns       185829
