```
$ docker container run -it --rm 515ef2898ccc /opt/install/bin/bench_kernels
2023-01-02T06:59:47+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 1.00, 0.63, 0.57
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: GCC
Compiler::Version: 11.3.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
GeneratorRY<float>/AVX2/24                    506154682 ns    506096780 ns            1
GeneratorRX<float>/AVX2/6                          4404 ns         4403 ns       157547
GeneratorRX<float>/AVX2/8                          5541 ns         5540 ns       126847
GeneratorRX<float>/AVX2/10                         9948 ns         9948 ns        69770
GeneratorRX<float>/AVX2/12                        28244 ns        28241 ns        24727
GeneratorRX<float>/AVX2/14                        98256 ns        98250 ns         7020
GeneratorRX<float>/AVX2/16                       388587 ns       388533 ns         1807
GeneratorRX<float>/AVX2/18                      3173046 ns      3172706 ns          221
GeneratorRX<float>/AVX2/20                     14217117 ns     14215436 ns           49
GeneratorRX<float>/AVX2/22                    110297261 ns    110291049 ns            6
GeneratorRX<float>/AVX2/24                    510437632 ns    510374942 ns            1
PauliZ<float>/AVX2/6                               4844 ns         4843 ns       143416
PauliZ<float>/AVX2/8                               5929 ns         5929 ns       116845
PauliZ<float>/AVX2/10                              9597 ns         9597 ns        73229
PauliZ<float>/AVX2/12                             24586 ns        24586 ns        28562
PauliZ<float>/AVX2/14                             84138 ns        84132 ns         8446
PauliZ<float>/AVX2/16                            324500 ns       324475 ns         2188
PauliZ<float>/AVX2/18                           2036086 ns      2035923 ns          306
PauliZ<float>/AVX2/20                          10568382 ns     10566629 ns           64
PauliZ<float>/AVX2/22                          81887848 ns     81869735 ns            8
PauliZ<float>/AVX2/24                         351766188 ns    351717925 ns            2
PauliY<float>/AVX2/6                               5012 ns         5011 ns       100000
PauliY<float>/AVX2/8                               6585 ns         6585 ns       107189
PauliY<float>/AVX2/10                             11961 ns        11959 ns        60132
PauliY<float>/AVX2/12                             32324 ns        32324 ns        21259
PauliY<float>/AVX2/14                            120813 ns       120811 ns         5832
PauliY<float>/AVX2/16                            465379 ns       465371 ns         1516
PauliY<float>/AVX2/18                           3266835 ns      3266840 ns          215
PauliY<float>/AVX2/20                          14590603 ns     14589788 ns           48
PauliY<float>/AVX2/22                         111908865 ns    111900924 ns            6
PauliY<float>/AVX2/24                         514552627 ns    514515221 ns            1
PauliX<float>/AVX2/6                               4578 ns         4577 ns       154326
PauliX<float>/AVX2/8                               5738 ns         5738 ns       122666
PauliX<float>/AVX2/10                             11260 ns        11259 ns        64299
PauliX<float>/AVX2/12                             33874 ns        33872 ns        20805
PauliX<float>/AVX2/14                            121642 ns       121641 ns         5878
PauliX<float>/AVX2/16                            460433 ns       460434 ns         1489
PauliX<float>/AVX2/18                           3159694 ns      3159499 ns          223
PauliX<float>/AVX2/20                          14082376 ns     14081927 ns           50
PauliX<float>/AVX2/22                         108555057 ns    108545763 ns            6
PauliX<float>/AVX2/24                         501473520 ns    501390391 ns            1
PhaseShift<float>/AVX2/6                           5792 ns         5792 ns       123767
PhaseShift<float>/AVX2/8                           7203 ns         7202 ns        97027
PhaseShift<float>/AVX2/10                         11793 ns        11792 ns        58904
PhaseShift<float>/AVX2/12                         30185 ns        30182 ns        23538
PhaseShift<float>/AVX2/14                        126854 ns       126842 ns         4336
PhaseShift<float>/AVX2/16                        406720 ns       406713 ns         1625
PhaseShift<float>/AVX2/18                       2398845 ns      2398755 ns          286
PhaseShift<float>/AVX2/20                      10877390 ns     10875463 ns           65
PhaseShift<float>/AVX2/22                      86001634 ns     85986831 ns            8
PhaseShift<float>/AVX2/24                     393988421 ns    393984321 ns            2
S<float>/AVX2/6                                    4872 ns         4872 ns       144046
S<float>/AVX2/8                                    5982 ns         5981 ns       112603
S<float>/AVX2/10                                  10224 ns        10222 ns        65867
S<float>/AVX2/12                                  27096 ns        27095 ns        24697
S<float>/AVX2/14                                  88790 ns        88778 ns         7853
S<float>/AVX2/16                                 352187 ns       352165 ns         2008
S<float>/AVX2/18                                2078217 ns      2078068 ns          356
S<float>/AVX2/20                               10256461 ns     10254823 ns           66
S<float>/AVX2/22                               86884597 ns     86876396 ns            8
S<float>/AVX2/24                              366293813 ns    366272017 ns            2
IsingYY<float>/AVX2/6                              5515 ns         5514 ns       126841
IsingYY<float>/AVX2/8                              7124 ns         7123 ns        97510
IsingYY<float>/AVX2/10                            12998 ns        12997 ns        54300
IsingYY<float>/AVX2/12                            37482 ns        37480 ns        18189
IsingYY<float>/AVX2/14                           139964 ns       139959 ns         4905
IsingYY<float>/AVX2/16                           549497 ns       549419 ns         1264
IsingYY<float>/AVX2/18                          3343470 ns      3343283 ns          209
IsingYY<float>/AVX2/20                         14735822 ns     14734465 ns           47
IsingYY<float>/AVX2/22                        114305759 ns    114286740 ns            6
IsingYY<float>/AVX2/24                        520527627 ns    520528927 ns            1
Hadamard<float>/AVX2/6                             5095 ns         5095 ns       117058
Hadamard<float>/AVX2/8                            18250 ns        18249 ns        36447
Hadamard<float>/AVX2/10                           11153 ns        11153 ns        58177
Hadamard<float>/AVX2/12                          144139 ns       144135 ns         8269
Hadamard<float>/AVX2/14                          139900 ns       139889 ns         4526
Hadamard<float>/AVX2/16                          916274 ns       916095 ns          726
Hadamard<float>/AVX2/18                         5082083 ns      5082093 ns          100
Hadamard<float>/AVX2/20                        17526007 ns     17523484 ns           41
Hadamard<float>/AVX2/22                       116114005 ns    116088778 ns            6
Hadamard<float>/AVX2/24                       510908110 ns    510836670 ns            1
Rot<float>/AVX2/6                                 11493 ns        11491 ns        61351
Rot<float>/AVX2/8                                 13424 ns        13422 ns        51424
Rot<float>/AVX2/10                                21625 ns        21625 ns        32580
Rot<float>/AVX2/12                                57254 ns        57244 ns        11972
Rot<float>/AVX2/14                               201519 ns       201510 ns         3513
Rot<float>/AVX2/16                               751781 ns       751655 ns          910
Rot<float>/AVX2/18                              3751888 ns      3751406 ns          187
Rot<float>/AVX2/20                             16544959 ns     16539215 ns           42
Rot<float>/AVX2/22                            124073486 ns    124064718 ns            6
Rot<float>/AVX2/24                            561258847 ns    561155985 ns            1
RZ<float>/AVX2/6                                   5488 ns         5487 ns       127847
RZ<float>/AVX2/8                                   6978 ns         6977 ns       100644
RZ<float>/AVX2/10                                 12730 ns        12729 ns        54975
RZ<float>/AVX2/12                                 37484 ns        37481 ns        18895
RZ<float>/AVX2/14                                139113 ns       139100 ns         4939
RZ<float>/AVX2/16                                556221 ns       556198 ns         1282
RZ<float>/AVX2/18                               3273272 ns      3272827 ns          214
RZ<float>/AVX2/20                              14430190 ns     14429047 ns           47
RZ<float>/AVX2/22                             111960780 ns    111953545 ns            6
RZ<float>/AVX2/24                             500751438 ns    500569735 ns            1
RY<float>/AVX2/6                                   5380 ns         5379 ns       130412
RY<float>/AVX2/8                                   6724 ns         6724 ns       105558
RY<float>/AVX2/10                                 11509 ns        11507 ns        60739
RY<float>/AVX2/12                                 34223 ns        34220 ns        21382
RY<float>/AVX2/14                                199574 ns       199554 ns         3473
RY<float>/AVX2/16                                645578 ns       645519 ns         1048
RY<float>/AVX2/18                               3389436 ns      3389152 ns          204
RY<float>/AVX2/20                              14390035 ns     14388827 ns           49
RY<float>/AVX2/22                             108032476 ns    107936829 ns            6
RY<float>/AVX2/24                             503631335 ns    503517451 ns            1
RX<float>/AVX2/6                                   5500 ns         5499 ns       131430
RX<float>/AVX2/8                                   6902 ns         6901 ns       100533
RX<float>/AVX2/10                                 12729 ns        12728 ns        54508
RX<float>/AVX2/12                                 44589 ns        44584 ns        17805
RX<float>/AVX2/14                                238723 ns       238695 ns         2947
RX<float>/AVX2/16                                915683 ns       915675 ns          762
RX<float>/AVX2/18                               4126859 ns      4126334 ns          170
RX<float>/AVX2/20                              16731029 ns     16730605 ns           43
RX<float>/AVX2/22                             115999252 ns    115968238 ns            6
RX<float>/AVX2/24                             534604413 ns    534572333 ns            1
SWAP<float>/AVX2/6                                 5158 ns         5157 ns       100000
SWAP<float>/AVX2/8                                 6281 ns         6280 ns       112372
SWAP<float>/AVX2/10                               10918 ns        10918 ns        66332
SWAP<float>/AVX2/12                               26925 ns        26921 ns        27709
SWAP<float>/AVX2/14                              110112 ns       110106 ns         8388
SWAP<float>/AVX2/16                              276273 ns       276251 ns         2305
SWAP<float>/AVX2/18                             2421511 ns      2421356 ns          302
SWAP<float>/AVX2/20                            10748610 ns     10747994 ns           61
SWAP<float>/AVX2/22                            91077808 ns     91062227 ns            7
SWAP<float>/AVX2/24                           389385965 ns    389358127 ns            2
CZ<float>/AVX2/6                                   4799 ns         4798 ns       144432
CZ<float>/AVX2/8                                   5845 ns         5844 ns       126164
CZ<float>/AVX2/10                                  8201 ns         8200 ns        81337
CZ<float>/AVX2/12                                 19207 ns        19207 ns        36445
CZ<float>/AVX2/14                                 99721 ns        99708 ns         6822
CZ<float>/AVX2/16                                400026 ns       399960 ns         1799
CZ<float>/AVX2/18                               1839745 ns      1839214 ns          415
CZ<float>/AVX2/20                               8340329 ns      8339492 ns           85
CZ<float>/AVX2/22                              64018714 ns     64009342 ns           11
