```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
Rot<float>/AVX2/22                            118605678 ns    118598374 ns            6
Rot<float>/AVX2/24                            516442286 ns    516433139 ns            1
IsingXX<float>/AVX2/6                              4458 ns         4457 ns       158992
IsingXX<float>/AVX2/8                              6424 ns         6424 ns       106362
IsingXX<float>/AVX2/10                            14176 ns        14176 ns        48611
IsingXX<float>/AVX2/12                            46123 ns        46122 ns        15172
IsingXX<float>/AVX2/14                           179400 ns       179391 ns         3999
IsingXX<float>/AVX2/16                           693643 ns       693639 ns         1028
IsingXX<float>/AVX2/18                          3726943 ns      3726719 ns          186
IsingXX<float>/AVX2/20                         16157387 ns     16157419 ns           42
IsingXX<float>/AVX2/22                        113724256 ns    113724461 ns            6
IsingXX<float>/AVX2/24                        523819856 ns    523788793 ns            1
PauliZ<float>/AVX2/6                               3807 ns         3807 ns       183614
PauliZ<float>/AVX2/8                               5140 ns         5139 ns       135999
PauliZ<float>/AVX2/10                             10840 ns        10840 ns        64618
PauliZ<float>/AVX2/12                             34742 ns        34742 ns        20179
PauliZ<float>/AVX2/14                            126628 ns       126628 ns         5510
PauliZ<float>/AVX2/16                            498635 ns       498629 ns         1395
PauliZ<float>/AVX2/18                           2732949 ns      2732855 ns          276
PauliZ<float>/AVX2/20                          12045041 ns     12044845 ns           58
PauliZ<float>/AVX2/22                          90724487 ns     90717899 ns            7
PauliZ<float>/AVX2/24                         404715400 ns    404710964 ns            2
IsingYY<float>/AVX2/6                              4741 ns         4741 ns       149436
IsingYY<float>/AVX2/8                              6648 ns         6648 ns       106163
IsingYY<float>/AVX2/10                            14787 ns        14786 ns        48737
IsingYY<float>/AVX2/12                            44242 ns        44241 ns        14937
IsingYY<float>/AVX2/14                           175765 ns       175754 ns         4125
IsingYY<float>/AVX2/16                           692093 ns       692079 ns         1004
IsingYY<float>/AVX2/18                          3765142 ns      3764921 ns          186
IsingYY<float>/AVX2/20                         16055059 ns     16054413 ns           42
IsingYY<float>/AVX2/22                        112489213 ns    112489485 ns            6
IsingYY<float>/AVX2/24                        518351154 ns    518306270 ns            1
S<float>/AVX2/6                                    3641 ns         3641 ns       188987
S<float>/AVX2/8                                    5097 ns         5097 ns       136209
