```
$ ./bin/bench_kernels
2023-01-04T06:35:37+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.52, 0.65, 1.03
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingXX<float>/AVX2/6                              4373 ns         4372 ns       163105
IsingXX<float>/AVX2/8                              6506 ns         6504 ns       111081
IsingXX<float>/AVX2/10                            14097 ns        14096 ns        49717
IsingXX<float>/AVX2/12                            48057 ns        48049 ns        14940
IsingXX<float>/AVX2/14                           175719 ns       175677 ns         3861
IsingXX<float>/AVX2/16                           726493 ns       726198 ns          999
IsingXX<float>/AVX2/18                          3620135 ns      3619609 ns          196
IsingXX<float>/AVX2/20                         15742943 ns     15735793 ns           43
IsingXX<float>/AVX2/22                        110859126 ns    110798782 ns            6
IsingXX<float>/AVX2/24                        513679462 ns    513624495 ns            1
PauliZ<float>/AVX2/6                               3800 ns         3798 ns       184919
PauliZ<float>/AVX2/8                               5310 ns         5309 ns       131377
PauliZ<float>/AVX2/10                             10759 ns        10755 ns        63539
PauliZ<float>/AVX2/12                             34492 ns        34480 ns        20456
PauliZ<float>/AVX2/14                            128671 ns       128636 ns         5464
PauliZ<float>/AVX2/16                            612842 ns       612566 ns         1063
PauliZ<float>/AVX2/18                           2824969 ns      2824186 ns          235
PauliZ<float>/AVX2/20                          13373213 ns     13367275 ns           50
PauliZ<float>/AVX2/22                          90718041 ns     90702500 ns            7
PauliZ<float>/AVX2/24                         420921545 ns    420741239 ns            2
IsingYY<float>/AVX2/6                              4724 ns         4723 ns       146776
IsingYY<float>/AVX2/8                              6748 ns         6745 ns       106193
IsingYY<float>/AVX2/10                            14868 ns        14864 ns        48889
IsingYY<float>/AVX2/12                            45721 ns        45695 ns        15360
IsingYY<float>/AVX2/14                           176552 ns       176520 ns         3989
IsingYY<float>/AVX2/16                           696668 ns       696526 ns         1027
IsingYY<float>/AVX2/18                          3658491 ns      3657732 ns          197
IsingYY<float>/AVX2/20                         15609713 ns     15606093 ns           43
IsingYY<float>/AVX2/22                        107493184 ns    107402057 ns            6
IsingYY<float>/AVX2/24                        514324289 ns    514094522 ns            1
S<float>/AVX2/6                                    3647 ns         3645 ns       192217
S<float>/AVX2/8                                    5103 ns         5102 ns       137508
S<float>/AVX2/10                                  10270 ns        10268 ns        68185
S<float>/AVX2/12                                  30556 ns        30553 ns        22858
S<float>/AVX2/14                                 174189 ns       174118 ns         6238
S<float>/AVX2/16                                 445372 ns       445276 ns         1458
S<float>/AVX2/18                                2454023 ns      2452823 ns          274
S<float>/AVX2/20                               10833906 ns     10830990 ns           57
S<float>/AVX2/22                               89642154 ns     89562658 ns            7
S<float>/AVX2/24                              346429920 ns    346420457 ns            2
IsingZZ<float>/AVX2/6                              4652 ns         4650 ns       150364
IsingZZ<float>/AVX2/8                              6478 ns         6477 ns       109154
IsingZZ<float>/AVX2/10                            14136 ns        14131 ns        48879
IsingZZ<float>/AVX2/12                            45305 ns        45300 ns        15707
IsingZZ<float>/AVX2/14                           277008 ns       276955 ns         2477
IsingZZ<float>/AVX2/16                           740933 ns       740643 ns          956
IsingZZ<float>/AVX2/18                          3874105 ns      3873129 ns          190
IsingZZ<float>/AVX2/20                         15907887 ns     15896715 ns           42
IsingZZ<float>/AVX2/22                        116292434 ns    116246713 ns            6
IsingZZ<float>/AVX2/24                        521260856 ns    521062579 ns            1
T<float>/AVX2/6                                    3705 ns         3704 ns       189277
T<float>/AVX2/8                                    5216 ns         5215 ns       137417
T<float>/AVX2/10                                  11165 ns        11161 ns        64122
T<float>/AVX2/12                                  33349 ns        33344 ns        20726
T<float>/AVX2/14                                 123425 ns       123368 ns         5631
T<float>/AVX2/16                                 480660 ns       480597 ns         1446
T<float>/AVX2/18                                2646543 ns      2646068 ns          252
T<float>/AVX2/20                               11668661 ns     11665496 ns           56
T<float>/AVX2/22                               94434198 ns     94389733 ns            8
T<float>/AVX2/24                              392014775 ns    391896081 ns            2
CNOT<float>/AVX2/6                                 3591 ns         3589 ns       199114
CNOT<float>/AVX2/8                                 4797 ns         4796 ns       148313
CNOT<float>/AVX2/10                                9453 ns         9449 ns        78419
CNOT<float>/AVX2/12                               26709 ns        26704 ns        25236
CNOT<float>/AVX2/14                              104976 ns       104937 ns         7159
CNOT<float>/AVX2/16                              366927 ns       366838 ns         1921
CNOT<float>/AVX2/18                             2328368 ns      2327594 ns          300
CNOT<float>/AVX2/20                            11185182 ns     11182618 ns           65
CNOT<float>/AVX2/22                            82604223 ns     82566186 ns            8
CNOT<float>/AVX2/24                           383797371 ns    383691946 ns            2
CZ<float>/AVX2/6                                   3795 ns         3792 ns       184108
CZ<float>/AVX2/8                                   4741 ns         4741 ns       149421
